tipo_producto,shipments,total_volume,total_value_usd,num_importers,num_countries,first_import,last_import
Rosas,4317,52628350.13,2455920.06,62,5,2020-01-06 00:00:00,2025-09-30 00:00:00
Otras Flores,24091,38458188.21,1831675.33,66,14,2020-01-02 00:00:00,2025-09-30 00:00:00
Crisantemos,2282,24603332.1,857050.66,38,5,2020-01-02 00:00:00,2025-09-30 00:00:00
Claveles,2942,21074696.6,522873.2,36,5,2020-01-02 00:00:00,2025-09-30 00:00:00
Plantas Vivas,640,6854211.1,16754.29,73,24,2020-01-11 00:00:00,2025-09-25 00:00:00
Follaje,4522,3418812.79,98741.73,71,17,2020-01-02 00:00:00,2025-09-26 00:00:00
Azucenas,717,711459.0,17986.8,17,4,2020-01-07 00:00:00,2025-09-30 00:00:00
Gerberas,726,621608.0,32626.77,22,5,2020-01-07 00:00:00,2025-09-30 00:00:00
Gladiolas,280,157070.0,13925.42,8,4,2020-01-08 00:00:00,2025-09-29 00:00:00
Orquídeas,119,36594.0,3188.46,14,5,2020-01-08 00:00:00,2025-09-08 00:00:00
Anturios,96,20535.0,1635.12,11,4,2020-01-07 00:00:00,2025-09-25 00:00:00
Heliconias,195,19238.0,156.09,10,2,2020-01-07 00:00:00,2025-09-25 00:00:00
