tipo_producto,shipments,total_volume,total_value_usd,avg_price_per_unit,num_importers
Rosas,4309,52598724.129999995,2455920.06,0.07,62
Otras Flores,20550,34808812.21,1831675.33,0.09,64
Crisantemos,2273,24589819.1,857050.66,0.04,37
Claveles,2942,21074696.6,522873.2,0.04,36
Follaje,1085,2077727.8900000001,98741.73,0.96,50
Gerberas,619,609468.0,32626.77,0.06,16
Azucenas,204,155275.0,17986.8,0.2,13
Plantas Vivas,29,545426.0,16754.29,6.32,12
Gladiolas,248,131040.0,13925.42,0.13,6
Orquídeas,25,4703.0,3188.46,0.89,6
